"Angeo","Angeo"
"Rich Data (JSON-LD)","Rich Data (JSON-LD)"
"General","General"
"Enabled","Enabled"
"Output mode","Output mode"
"Single @graph document (recommended)","Single @graph document (recommended)"
"One script tag per schema (1.x behaviour)","One script tag per schema (1.x behaviour)"
"Product schema","Product schema"
"Include AggregateRating","Include AggregateRating"
"Include SKU","Include SKU"
"Include Brand","Include Brand"
"Brand attribute code","Brand attribute code"
"Item condition","Item condition"
"New","New"
"Used","Used"
"Refurbished","Refurbished"
"Damaged","Damaged"
"Include GTIN / MPN identifiers","Include GTIN / MPN identifiers"
"GTIN attribute code","GTIN attribute code"
"MPN attribute code","MPN attribute code"
"Publish configurable products as ProductGroup","Publish configurable products as ProductGroup"
"Maximum variants per product","Maximum variants per product"
"priceValidUntil window (days)","priceValidUntil window (days)"
"In-stock availability URL","In-stock availability URL"
"Out-of-stock availability URL","Out-of-stock availability URL"
"Include BreadcrumbList (deprecated)","Include BreadcrumbList (deprecated)"
"Breadcrumb schema","Breadcrumb schema"
"Merchant policies (return and shipping)","Merchant policies (return and shipping)"
"Enable return policy","Enable return policy"
"Return window (days)","Return window (days)"
"Applicable country","Applicable country"
"Return fee","Return fee"
"Free return","Free return"
"Customer pays return shipping","Customer pays return shipping"
"Restocking fee","Restocking fee"
"Enable shipping details","Enable shipping details"
"Flat shipping rate","Flat shipping rate"
"Shipping destination country","Shipping destination country"
"Handling time, min days","Handling time, min days"
"Handling time, max days","Handling time, max days"
"Transit time, min days","Transit time, min days"
"Transit time, max days","Transit time, max days"
"Organization schema","Organization schema"
"Organization name","Organization name"
"Organization description","Organization description"
"Logo URL","Logo URL"
"sameAs URLs","sameAs URLs"
"Contact telephone","Contact telephone"
"Contact type","Contact type"
"WebSite schema","WebSite schema"
"Include SearchAction","Include SearchAction"
"CollectionPage schema (categories)","CollectionPage schema (categories)"
"FAQPage schema","FAQPage schema"
"CMS page identifiers","CMS page identifiers"
"Angeo — Rich Data Configuration","Angeo — Rich Data Configuration"
